n,m,d,n_red,m_red,rep,steps,time,alpha,IsAut_Sp,IsAut_Re,steps,time_a,alpha_a,|a|,IsAut_Sp_a,IsAut_Re_a
20,20,3,20,20,2,16,0.3082308769226074,1.222285766119852,True,True,13,0.9052290916442871,1.2251839795654453,15,True,True
20,20,3,20,20,3,18,0.3449440002441406,1.2007207437888998,True,True,16,0.8707349300384521,1.2031580570979215,20,True,True
20,20,3,20,20,4,22,0.4170820713043213,0.9476681767812544,True,True,20,1.3112730979919434,0.950652069563724,20,True,True
20,20,3,20,20,5,35,0.6554727554321289,0.9808124029020051,True,True,27,1.6162290573120117,0.9820870243044408,20,True,True
20,20,4,20,20,1,33,0.6124212741851807,1.0164807755552914,True,True,25,1.440539836883545,1.0204658127132795,20,True,True
20,20,4,20,20,2,15,0.2900211811065674,0.9468767290247119,True,True,13,0.8471150398254395,0.9487478998723478,20,True,True
20,20,4,20,20,3,16,0.3063180446624756,0.7537212648184458,True,True,12,0.6703259944915771,0.7546427715138678,16,True,True
20,20,4,20,20,4,59,1.0765769481658936,2.796151368722178,True,True,40,1.8285210132598877,2.911953396145152,20,True,True
20,20,4,20,20,5,59,1.078871250152588,0.4408573181805419,True,True,49,3.064406156539917,0.4451372725352497,20,True,True
20,20,5,20,20,1,141,2.566880941390991,1.6517176962528881,True,True,120,6.628459930419922,1.6821042610109755,20,True,True
20,20,5,20,19,2,39,0.6981041431427002,1.3588123868102688,True,True,34,1.245896816253662,1.3663628609877305,20,True,True
20,20,5,20,20,3,23,0.4388730525970459,1.2729828134230612,True,True,21,1.0361411571502686,1.276815172087701,20,True,True
20,20,5,20,19,4,48,0.843890905380249,0.8221180990735285,True,True,48,1.980114221572876,0.8324151625724947,20,True,True
20,20,5,19,20,5,40,0.7127110958099365,1.142194850518914,True,True,34,1.2444109916687012,1.1471255372897065,19,True,True
20,30,3,20,30,1,17,0.4742770195007324,1.2732405853830386,True,True,0,0.08140993118286133,0.3270588235294118,20,True,True
20,30,3,20,30,2,19,0.5239181518554688,1.7136222631074511,True,True,16,1.2547669410705566,1.7241479706092615,20,True,True
20,30,3,20,30,3,17,0.4729619026184082,1.4044823756252214,True,True,15,1.8508410453796387,1.4110217629255724,20,True,True
20,30,3,20,29,4,24,0.6556649208068848,1.6727411744331249,True,True,22,2.366655111312866,1.6844295426921718,20,True,True
20,30,3,20,30,5,22,0.6061489582061768,1.1833238245769182,True,True,19,2.480544090270996,1.1873380211929834,20,True,True
20,30,4,20,30,1,17,0.47312307357788086,1.0771119088500105,True,True,0,0.04851198196411133,0.17452830188679244,20,True,True
20,30,4,20,30,2,87,2.3110477924346924,1.3205721845577283,True,True,67,4.476461172103882,1.518358145356422,16,True,True
20,30,4,20,30,3,23,0.661736011505127,1.5428399928212857,True,True,19,2.4567527770996094,1.548089573637471,19,True,True
20,30,4,20,30,4,23,0.635709285736084,1.4992971880595924,True,True,20,1.3340339660644531,1.5034500708218181,20,True,True
20,30,4,20,30,5,25,0.6950669288635254,1.4013893095475023,True,True,21,1.5929930210113525,1.4052218306164046,20,True,True
20,30,5,20,30,1,37,1.0116689205169678,1.8333109079047512,True,True,32,2.357919931411743,1.8422802450967077,20,True,True
20,30,5,20,29,2,75,1.9495890140533447,1.9149172914590142,True,True,62,2.881988763809204,1.9687175903855139,20,True,True
20,30,5,20,30,3,98,2.659701108932495,2.2654364997424863,True,True,120,11.275583982467651,2.4986027055353164,20,True,True
20,30,5,20,29,4,44,1.1668310165405273,1.9985108341604214,True,True,1,0.08287692070007324,0.4864826308362189,19,True,True
20,30,5,20,30,5,36,0.9699180126190186,1.6708009381800797,True,True,1,0.1063392162322998,0.4456545301811369,16,True,True
20,40,3,20,40,1,24,0.8773207664489746,1.4438699956836096,True,True,21,2.8814539909362793,1.4511333698464626,20,True,True
20,40,3,20,40,2,22,0.7974369525909424,1.573074320889387,True,True,20,4.492347002029419,1.58919011001979,20,True,True
20,40,3,20,40,3,22,0.8033559322357178,1.2523528946250198,True,True,0,0.35761213302612305,0.4573560767591035,19,True,True
20,40,3,20,40,4,18,0.6569268703460693,1.9717080182124824,True,True,16,2.693647861480713,1.9848321675866345,20,True,True
20,40,3,20,40,5,21,0.797065258026123,1.5565215978525813,True,True,17,2.598428964614868,1.5629903605529878,19,True,True
20,40,4,20,40,1,27,1.0002329349517822,1.86647231411829,True,True,24,2.1454291343688965,1.8853797377309893,20,True,True
20,40,4,20,40,2,21,0.7734382152557373,1.68977461551407,True,True,0,0.08903813362121582,0.2952522255192878,20,True,True
20,40,4,20,40,3,44,1.604245901107788,2.40095650365668,True,True,39,4.369098901748657,2.419663915831045,20,True,True
20,40,4,20,40,4,31,1.1323599815368652,1.3645097079930268,True,True,27,3.6958770751953125,1.3772774844490545,20,True,True
20,40,4,20,40,5,24,0.8757028579711914,1.5950959304089676,True,True,21,2.339616060256958,1.608119043520489,15,True,True
20,40,5,20,40,1,30,1.1321618556976318,1.9801816482277572,True,True,27,2.6182308197021484,1.9990556708699332,20,True,True
20,40,5,20,40,2,60,2.150160789489746,1.8757345059824395,True,True,0,0.0694882869720459,0.2456813819577735,20,True,True
20,40,5,20,40,3,24,0.8860909938812256,1.557819470424944,True,True,21,1.6681699752807617,1.564594622124904,20,True,True
20,40,5,20,38,4,24,0.8354959487915039,1.5133776081207813,True,True,21,1.2405741214752197,1.5257725285013806,20,True,True
20,40,5,20,38,5,67,2.2685937881469727,2.3013125308885356,True,True,0,0.0637822151184082,0.43870967741935485,20,True,True
20,50,3,20,50,1,28,1.267068862915039,2.1113253729309287,True,True,25,3.436307907104492,2.1412702611525276,20,True,True
20,50,3,20,50,2,23,1.0381238460540771,1.9294444789611742,True,True,20,3.7126030921936035,1.938892684401191,20,True,True
20,50,3,20,50,3,17,0.7763168811798096,1.754387118310348,True,True,15,3.2306270599365234,1.7654473919109754,20,True,True
20,50,3,20,50,4,24,1.0831749439239502,1.5066594421348,True,True,22,4.022550821304321,1.5166884193737058,20,True,True
20,50,3,20,50,5,22,0.9948289394378662,1.7637857780366877,True,True,19,3.3177490234375,1.782747848664768,20,True,True
20,50,4,20,50,1,31,1.38043212890625,2.9227059356000145,True,True,28,2.900751829147339,2.993664710815617,20,True,True
20,50,4,20,50,2,46,2.0394198894500732,2.6732845897175412,True,True,40,5.073468923568726,2.7697403701492607,20,True,True
20,50,4,20,50,3,25,1.1235730648040771,1.9496686478654033,True,True,20,4.676457166671753,1.981358221238544,19,True,True
20,50,4,20,50,4,38,1.7093019485473633,2.151660021819931,True,True,35,4.48667311668396,2.2193418838574823,20,True,True
20,50,4,20,50,5,26,1.1860599517822266,1.5757882180749032,True,True,23,3.0583736896514893,1.587768891207539,20,True,True
20,50,5,20,49,1,62,2.679708957672119,2.316547428608779,True,True,57,5.238755941390991,2.375696721899127,20,True,True
20,50,5,20,49,2,25,1.1196608543395996,2.302641520235011,True,True,19,1.797550916671753,2.399540392554945,19,True,True
20,50,5,20,49,3,52,2.2786307334899902,2.7712440378363783,True,True,39,3.553924083709717,3.053917972036281,19,True,True
20,50,5,20,50,4,31,1.4025137424468994,1.812285596586846,True,True,26,2.2705793380737305,1.8394818125059882,20,True,True
20,50,5,20,49,5,80,3.5477511882781982,2.835446584485719,True,True,73,5.913606882095337,2.94760878488944,20,True,True
30,10,3,29,10,1,31,0.4417898654937744,0.39781862403671603,True,True,26,1.3036937713623047,0.3986863198074255,29,True,True
30,10,3,29,10,2,15,0.22361183166503906,0.20010818130738564,True,True,13,0.9622142314910889,0.2002759132049792,29,True,True
30,10,3,30,10,3,22,0.32911086082458496,0.3017889499853969,True,True,18,1.3215248584747314,0.3021702747700705,30,True,True
30,10,3,30,10,4,17,0.25912904739379883,0.40566881683892714,True,True,15,0.8558409214019775,0.40582036639536273,30,True,True
30,10,3,28,10,5,19,0.28836703300476074,0.4685089115277153,True,True,16,0.7425858974456787,0.46881294416214014,28,True,True
30,10,4,27,10,1,38,0.5062000751495361,0.1433378036756695,True,True,32,1.3087260723114014,0.1434551430201468,27,True,True
30,10,4,28,10,2,14,0.21065592765808105,0.32141796910180115,True,True,12,0.5201981067657471,0.32141780641334866,28,True,True
30,10,4,25,10,3,32,0.39156579971313477,0.25029328742551205,True,True,27,1.0145609378814697,0.25060588716421767,25,True,True
30,10,4,27,10,4,23,0.30252599716186523,0.35212243019158207,True,True,19,0.7251760959625244,0.35217392223524635,20,True,True
30,10,4,27,10,5,21,0.2811238765716553,0.32993944456453966,True,True,18,0.6285829544067383,0.3304248665903967,27,True,True
30,10,5,23,10,1,136,1.4995248317718506,0.19231775218802438,True,True,111,3.718733787536621,0.1924844575054657,23,True,True
30,10,5,21,10,2,25,0.2621171474456787,0.740666943510351,True,True,22,0.6332290172576904,0.7411243649829662,21,True,True
30,10,5,28,10,3,14,0.19956398010253906,0.2866464369699742,True,True,12,0.4207491874694824,0.2866662955083846,28,True,True
30,10,5,22,10,4,52,0.552034854888916,0.5632363288803535,True,True,44,1.4138813018798828,0.5656696783615477,22,True,True
30,10,5,25,10,5,20,0.2464287281036377,0.28701465024583206,True,True,17,0.5487222671508789,0.2872489047565035,25,True,True
30,20,3,30,20,1,18,0.5102849006652832,0.6902943483485412,True,True,16,1.4783909320831299,0.6912029909328465,30,True,True
30,20,3,30,20,2,23,0.6571629047393799,0.5724562462811196,True,True,20,1.9520373344421387,0.5737214686494607,30,True,True
30,20,3,30,20,3,16,0.46361804008483887,1.0133131540179363,True,True,14,1.4341607093811035,1.0144425983107814,30,True,True
30,20,3,30,20,4,20,0.5899009704589844,0.7229872607049284,True,True,17,2.126277208328247,0.724059974287137,30,True,True
30,20,3,30,20,5,13,0.3734457492828369,0.6362630991200607,True,True,11,1.1407749652862549,0.6367821002160299,30,True,True
30,20,4,30,20,1,22,0.615656852722168,0.8198290528048083,True,True,19,2.1139259338378906,0.8208132341597558,30,True,True
30,20,4,30,20,2,15,0.4373011589050293,0.5785038124305626,True,True,13,0.9566657543182373,0.5791688772806286,30,True,True
30,20,4,29,20,3,31,0.830625057220459,0.4821779476983824,True,True,25,2.087354898452759,0.48356118920227176,23,True,True
30,20,4,30,20,4,36,0.9906799793243408,0.3057507971799456,True,True,30,3.090928077697754,0.3067879972948354,30,True,True
30,20,4,30,20,5,20,0.5717358589172363,0.6024113325259297,True,True,0,0.05418705940246582,0.060955518945634266,30,True,True
30,20,5,30,20,1,37,1.0204048156738281,0.4609876837870222,True,True,13,1.0246517658233643,0.4526267082891712,28,True,True
30,20,5,30,20,2,32,0.9005579948425293,0.66765501591626,True,True,10,0.9571788311004639,0.6582431874661478,29,True,True
30,20,5,28,20,3,36,0.9365451335906982,0.5983649377594877,True,True,31,2.2296230792999268,0.5997800881853792,28,True,True
30,20,5,27,20,4,83,2.017249822616577,1.1597209824046282,True,True,0,0.0444488525390625,0.07981220657276995,27,True,True
30,20,5,29,20,5,53,1.4249987602233887,0.23916792383959387,True,True,37,2.6863789558410645,0.240522443261077,28,True,True
30,30,3,30,30,1,14,0.5923771858215332,0.9590739111081528,True,True,12,1.9354639053344727,0.961683238752937,30,True,True
30,30,3,30,30,2,16,0.6733319759368896,0.7871617127060581,True,True,14,2.7815940380096436,0.7878547072675612,30,True,True
30,30,3,30,30,3,21,0.8644249439239502,0.9000206628871057,True,True,18,2.8637712001800537,0.9009720501407457,30,True,True
30,30,3,30,30,4,24,0.9853367805480957,1.0565573820313228,True,True,21,4.698791027069092,1.0593603311576105,30,True,True
30,30,3,30,30,5,18,0.7444078922271729,1.0587869420570417,True,True,15,3.528407096862793,1.0604246859909896,30,True,True
30,30,4,30,30,1,25,1.0387639999389648,0.9795608937089567,True,True,21,3.8353776931762695,0.9810492165299382,30,True,True
30,30,4,30,30,2,32,1.333479881286621,1.3154411045779133,True,True,28,5.48987603187561,1.3275003131795708,30,True,True
30,30,4,30,30,3,20,0.8328101634979248,0.8213239580189728,True,True,18,2.6055822372436523,0.8229418762900111,30,True,True
30,30,4,30,30,4,28,1.1427178382873535,0.7475451146582697,True,True,0,0.09669184684753418,0.22247191011235956,30,True,True
30,30,4,30,30,5,25,1.0265247821807861,0.9928620271717401,True,True,22,4.25119161605835,0.9951443810475659,30,True,True
30,30,5,30,30,1,26,1.0631189346313477,1.0100723507804452,True,True,22,3.16921067237854,1.0122713947270734,30,True,True
30,30,5,30,30,2,32,1.3084449768066406,0.9205739489436379,True,True,28,3.2749152183532715,0.9225474460092106,30,True,True
30,30,5,30,30,3,33,1.3528668880462646,1.1799766375074465,True,True,1,0.21649980545043945,0.4819277108433735,22,True,True
30,30,5,30,30,4,24,0.9882769584655762,1.1569818301796042,True,True,21,3.633175849914551,1.1608845866326187,30,True,True
30,30,5,30,30,5,15,0.632875919342041,1.0682645730983884,True,True,12,1.8537650108337402,1.0694716174328212,29,True,True
30,40,3,30,40,1,21,1.1429500579833984,0.9973935524235548,True,True,18,4.345726013183594,1.0006470845528856,30,True,True
30,40,3,30,40,2,21,1.1555018424987793,1.1834823824903686,True,True,18,4.364911079406738,1.1866790357018262,30,True,True
30,40,3,30,40,3,20,1.0955519676208496,0.9389417932212968,True,True,18,4.90041708946228,0.9407464939067602,30,True,True
30,40,3,30,40,4,16,0.8857169151306152,1.1479346790300784,True,True,14,4.0693957805633545,1.1499351180502813,30,True,True
30,40,3,30,40,5,18,1.002253770828247,0.968881997070412,True,True,17,3.6467092037200928,0.9715593321714445,30,True,True
30,40,4,30,40,1,17,0.9411890506744385,1.0119703436701202,True,True,14,4.166292905807495,1.01365721602339,30,True,True
30,40,4,30,40,2,26,1.4108517169952393,1.062892606071112,True,True,23,4.531999111175537,1.0699018062352543,30,True,True
30,40,4,30,40,3,26,1.4130008220672607,1.1803814171201263,True,True,22,4.086541175842285,1.184133136498915,30,True,True
30,40,4,30,40,4,33,1.7926418781280518,1.0473843271107275,True,True,28,7.242363214492798,1.0505267669665235,30,True,True
30,40,4,30,40,5,40,2.1352150440216064,1.5154061061448822,True,True,29,6.276700019836426,1.5369071469867,28,True,True
30,40,5,30,40,1,44,2.3377320766448975,1.208120990422695,True,True,39,8.878556966781616,1.2162738392069887,30,True,True
30,40,5,30,40,2,21,1.1469502449035645,1.362494599712001,True,True,18,2.946732759475708,1.3672389880863016,30,True,True
30,40,5,30,40,3,32,1.7173480987548828,1.166227138425321,True,True,0,0.1315019130706787,0.22015503875968992,30,True,True
30,40,5,30,40,4,21,1.1445250511169434,1.0203066271746681,True,True,18,3.0779778957366943,1.0230864559653072,30,True,True
30,40,5,30,40,5,29,1.5833189487457275,1.5365116208127616,True,True,25,7.0322301387786865,1.5433085552250845,30,True,True
30,50,3,30,50,1,14,0.9772181510925293,1.248477919278088,True,True,12,3.684326171875,1.2522872026823364,30,True,True
30,50,3,30,50,2,32,2.1335887908935547,1.3382213422204932,True,True,27,8.066097736358643,1.3482186222552852,30,True,True
30,50,3,30,50,3,19,1.3020362854003906,1.4998559509074718,True,True,17,5.197425842285156,1.5053685591177128,30,True,True
30,50,3,30,50,4,16,1.1023218631744385,1.23382036647485,True,True,15,4.58728289604187,1.2384558134333057,30,True,True
30,50,3,30,50,5,19,1.2972090244293213,1.2046785984063448,True,True,16,5.204431772232056,1.2072521614588587,30,True,True
30,50,4,30,50,1,23,1.543205976486206,1.256224049261247,True,True,16,4.921833753585815,1.263500686006453,29,True,True
30,50,4,30,50,2,24,1.6554818153381348,1.4055527929907217,True,True,21,5.072101831436157,1.4102440540433157,30,True,True
30,50,4,30,50,3,26,1.775853157043457,1.3143226488973647,True,True,23,5.580596923828125,1.3184201493700922,30,True,True
30,50,4,30,50,4,29,1.9427168369293213,1.3696651950377647,True,True,25,5.953792095184326,1.3792114020345236,30,True,True
30,50,4,30,50,5,30,1.9927771091461182,1.597056682243249,True,True,27,7.6296021938323975,1.6131508669694965,30,True,True
30,50,5,30,50,1,17,1.165177822113037,1.4009239246047853,True,True,16,3.3390538692474365,1.408014242267496,30,True,True
30,50,5,30,50,2,36,2.3837478160858154,1.3658858109303276,True,True,29,6.766280174255371,1.3741107123966827,27,True,True
30,50,5,30,50,3,21,1.4335269927978516,1.2586733287574992,True,True,19,4.65887188911438,1.2619989129936067,30,True,True
30,50,5,30,50,4,37,2.4569578170776367,1.9591821698707963,True,True,32,8.448187828063965,1.9919612080128037,30,True,True
30,50,5,30,50,5,26,1.8430562019348145,1.475154864462991,True,True,17,3.7414028644561768,1.532175641985354,29,True,True
